"filename", "language", "Python", "Batch", "pip requirements", "Markdown", "PowerShell", "JSON", "Properties", "JavaScript", "CSS", "reStructuredText", "XML", "C", "comment", "blank", "total"
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 63, 339
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\lexer.py", "Python", 719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 140, 944
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py", "Python", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 66, 363
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py", "Python", 556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 560
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py", "Python", 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 76, 1199
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\modeline.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\plugin.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 89
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py", "Python", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 92
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\scanner.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 105
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py", "Python", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 218
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\style.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 28, 198
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\styles\__init__.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 104
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\token.py", "Python", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38, 214
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\unistring.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54, 154
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\util.py", "Python", 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57, 331
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pyparsing\__init__.py", "Python", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 323
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pyparsing\actions.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59, 218
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pyparsing\common.py", "Python", 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 82, 433
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pyparsing\core.py", "Python", 4805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 271, 1040, 6116
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pyparsing\diagram\__init__.py", "Python", 517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 81, 657
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pyparsing\exceptions.py", "Python", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61, 300
